id,order_id,product_id,sales,profit
1,77202,1360,327.75,91.25
2,75939,1360,327.75,-249.0899963
3,75938,1360,327.75,-247.7799988
4,75937,1360,327.75,22.86000061
5,75936,1360,327.75,134.2100067
6,75935,1360,327.75,18.57999992
7,75934,1360,327.75,95.18000031
8,75933,1360,327.75,68.43000031
9,75932,1360,327.75,133.7200012
10,75931,1360,327.75,132.1499939
11,75930,1360,327.75,130.5800018
12,75929,1360,327.75,45.68999863
13,75928,1360,327.75,21.76000023
14,75927,1360,327.75,24.57999992
15,75926,1360,327.75,16.38999939
16,75925,1360,327.75,-259.5799866
17,75924,1360,327.75,-246.3600006
18,75923,1360,327.75,23.84000015
19,75922,1360,327.75,102.2600021
20,75921,1360,327.75,87.18000031
21,75920,1360,327.75,154.8600006
22,75919,1360,327.75,82.30000305
23,75918,1360,327.75,22.37000084
24,75917,1360,327.75,17.70000076
25,75916,1360,327.75,90.27999878
26,75915,1360,327.75,131.1699982
27,75914,1360,327.75,90.54000092
28,75913,1360,327.75,82.58999634
29,75912,1360,327.75,-17.13999939
30,75911,1360,327.75,23.64999962
31,75910,1360,327.75,73.41999817
32,75909,1360,327.75,113.0699997
33,75908,1360,327.75,24.57999992
34,75907,1360,327.75,-97.33999634
35,75906,1360,327.75,-425.5799866
36,75905,1360,327.75,152.6000061
37,75904,1360,327.75,151.0299988
38,75903,1360,327.75,62.27000046
39,75902,1360,327.75,35.0
40,75901,1360,327.75,57.29999924
41,75900,1360,327.75,143.1600037
42,75899,1360,327.75,135.6900024
43,75898,1360,327.75,132.6699982
44,75897,1360,327.75,119.7600021
45,75896,1360,327.75,31.47999954
46,75895,1360,327.75,86.16999817
47,75894,1360,327.75,130.5800018
48,75893,1360,327.75,0.0
49,28744,365,119.9800034,-30.75
50,45461,627,79.98000336,-122.7300034
51,31115,502,100.0,33.59999847
52,45766,627,79.98000336,24.69000053
53,47752,502,100.0,9.100000381
54,50054,502,100.0,-21.75
55,20365,502,100.0,6.150000095
56,36146,278,89.98000336,22.40999985
57,41234,249,109.9400024,25.23999977
58,32090,365,119.9800034,30.5699997
59,34773,365,119.9800034,46.0699997
60,44046,191,299.9700012,-184.7799988
61,46414,627,119.9700012,38.75
62,46599,917,65.97000122,-3.650000095
63,48434,828,95.97000122,38.22999954
64,12827,191,299.9700012,129.3500061
65,63936,191,299.9700012,132.2899933
66,65030,191,299.9700012,76.04000092
67,18108,365,179.9700012,81.12999725
68,62571,365,179.9700012,43.52000046
69,17162,365,179.9700012,68.77999878
70,65922,365,179.9700012,40.49000168
71,63936,502,150.0,20.93000031
72,64813,627,119.9700012,12.19999981
73,67892,502,150.0,12.71000004
74,12525,917,65.97000122,7.760000229
75,5895,191,299.9700012,101.3899994
76,56359,365,179.9700012,-285.0700073
77,58613,365,179.9700012,42.74000168
78,7824,365,179.9700012,49.3199997
79,7814,365,179.9700012,80.33999634
80,7814,365,179.9700012,-26.69000053
81,60807,365,179.9700012,-117.3300018
82,53413,365,179.9700012,47.88000107
83,7888,502,150.0,72.0
84,6783,627,119.9700012,29.94000053
85,56973,502,150.0,23.46999931
86,7824,502,150.0,68.40000153
87,55155,502,150.0,43.65999985
88,5991,502,150.0,13.19999981
89,2263,502,150.0,46.20000076
90,2263,502,150.0,10.43999958
91,53403,502,150.0,15.56000042
92,51298,627,119.9700012,32.86000061
93,4919,502,250.0,9.600000381
94,52640,627,199.9499969,55.09000015
95,6358,627,199.9499969,68.58999634
96,57106,502,250.0,51.97999954
97,6245,502,250.0,-23.62999916
98,52166,642,150.0,66.88999939
99,56172,627,199.9499969,11.46000004
100,55829,502,250.0,22.5
101,52478,502,250.0,67.5
102,57242,627,199.9499969,78.27999878
103,3137,502,250.0,104.4000015
104,60127,502,250.0,47.84999847
105,3828,627,199.9499969,44.18999863
106,60386,502,250.0,8.5
107,973,627,199.9499969,83.98000336
108,57999,502,250.0,70.13999939
109,54585,502,250.0,72.62999725
110,57598,502,250.0,-140.0
111,54274,502,250.0,-32.59999847
112,60673,627,199.9499969,68.98000336
113,59387,502,250.0,-11.81000042
114,52640,502,250.0,52.5
115,10007,502,250.0,91.87999725
116,55984,818,239.9499969,29.69000053
117,52478,825,159.9499969,73.69999695
118,58375,306,449.9500122,-79.19000244
119,56448,977,149.9499969,34.84999847
120,8221,44,299.9500122,74.08999634
121,58034,191,499.9500122,149.9900055
122,2203,191,499.9500122,-18.80999947
123,53069,191,499.9500122,140.6399994
124,60146,191,499.9500122,36.0
125,55409,191,499.9500122,179.9799957
126,8678,191,499.9500122,-783.6699829
127,7980,191,499.9500122,199.4799957
128,57185,191,499.9500122,-269.9700012
129,8636,191,499.9500122,-22.5
130,61192,251,449.9500122,59.06000137
131,55876,365,299.9500122,140.9799957
132,53331,365,299.9500122,81.66000366
133,51725,365,299.9500122,18.40999985
134,52562,365,299.9500122,33.22000122
135,59754,365,299.9500122,25.30999947
136,53574,365,299.9500122,-239.8600006
137,399,365,299.9500122,-155.8999939
138,51050,191,99.98999786,40.02000046
139,45680,403,129.9900055,44.59000015
140,42992,403,129.9900055,57.95999908
141,41304,403,129.9900055,30.42000008
142,45680,365,59.99000168,24.60000038
143,44253,403,129.9900055,48.88000107
144,46098,957,299.980011,0.0
145,41304,957,299.980011,95.54000092
146,71077,1352,252.8800049,-50.58000183
147,69703,1349,452.0400085,120.8300018
148,71112,1352,252.8800049,25.04000092
149,69810,1349,452.0400085,212.6399994
150,71092,1352,252.8800049,68.68000031
151,69610,1349,452.0400085,135.8300018
152,71000,1352,252.8800049,78.08000183
153,70734,1351,1500.0,595.3499756
154,69626,1349,452.0400085,21.36000061
155,69482,1349,452.0400085,213.5899963
156,70769,1351,1500.0,55.79999924
157,69643,1349,452.0400085,126.1200027
158,71051,1352,252.8800049,6.900000095
159,69408,1349,452.0400085,-277.6700134
160,71123,1352,252.8800049,105.8600006
161,70534,1351,1500.0,86.0
162,69641,1349,452.0400085,195.2799988
163,70960,1352,252.8800049,22.76000023
164,69908,1349,452.0400085,180.5899963
165,70957,1352,252.8800049,101.0299988
166,69637,1349,452.0400085,118.8499985
167,70955,1352,252.8800049,60.86999893
168,70919,1352,252.8800049,73.45999908
169,71009,1352,252.8800049,39.88000107
170,69653,1349,452.0400085,177.9199982
171,69527,1349,452.0400085,129.7400055
172,71080,1352,252.8800049,62.20999908
173,70544,1351,1500.0,90.0
174,69471,1349,452.0400085,118.6600037
175,68879,60,999.9899902,415.7999878
176,67214,24,79.98999786,8.619999886
177,17810,44,59.99000168,16.34000015
178,18793,278,44.99000168,12.52999973
179,65109,191,99.98999786,25.92000008
180,15673,191,99.98999786,-13.57999992
181,18183,278,44.99000168,10.03999996
182,20234,191,99.98999786,10.80000019
183,13139,191,99.98999786,16.71999931
184,33824,278,134.9700012,28.85000038
185,31364,191,299.9700012,133.9100037
186,40495,191,299.9700012,79.16000366
187,31364,191,299.9700012,19.11000061
188,34506,365,179.9700012,10.77000046
189,33607,365,179.9700012,-284.5299988
190,32617,365,179.9700012,69.68000031
191,37496,627,119.9700012,7.480000019
192,32617,567,75.0,11.02999973
193,49075,502,150.0,-24.8199997
194,33824,502,150.0,33.0
195,49075,502,150.0,36.54000092
196,41623,627,119.9700012,-76.37000275
197,39271,627,119.9700012,8.760000229
198,38598,893,74.97000122,36.36999893
199,37845,924,47.97000122,18.12999916
200,42331,365,239.9600067,-12.98999977
201,41345,365,239.9600067,74.04000092
202,51168,502,200.0,90.0
203,51168,627,159.9600067,-2.190000057
204,43599,502,200.0,85.05000305
205,41901,905,99.95999908,3.039999962
206,42751,191,399.9599915,-266.7900085
207,45088,365,239.9600067,64.79000092
208,50489,365,239.9600067,83.62000275
209,44409,365,239.9600067,74.08999634
210,42101,365,239.9600067,92.97000122
211,50424,365,239.9600067,70.55999756
212,49825,502,200.0,96.0
213,41294,502,200.0,-145.1300049
214,42023,627,159.9600067,45.0
215,47774,627,159.9600067,51.09000015
216,41827,564,120.0,31.25
217,47193,502,200.0,-459.0
218,42626,502,200.0,-248.0
219,46199,502,200.0,13.19999981
220,48468,885,99.95999908,46.29000092
221,51009,191,399.9599915,182.1399994
222,46229,191,399.9599915,-261.4400024
223,42882,191,399.9599915,178.5800018
224,46827,191,399.9599915,167.4199982
225,48684,191,399.9599915,-76.66999817
226,48684,191,399.9599915,165.4199982
227,46416,191,399.9599915,-82.01000214
228,47343,191,399.9599915,91.79000092
229,41686,403,129.9900055,40.56000137
230,41896,403,129.9900055,41.18000031
231,28168,365,59.99000168,27.36000061
232,24992,403,129.9900055,26.05999947
233,30851,403,129.9900055,32.47999954
234,25074,403,129.9900055,35.81000137
235,76870,1363,215.8200073,102.5100021
