id,product_name,category_id,price,stock
1360,Smart watch ,1,327.75,197
365,Perfect Fitness Perfect Rip Deck,2,59.99000168,214
627,Under Armour Girls' Toddler Spine Surge Runni,3,39.99000168,809
502,Nike Men's Dri-FIT Victory Golf Polo,4,50.0,727
278,Under Armour Men's Compression EV SL Slide,5,44.99000168,132
249,Under Armour Women's Micro G Skulpt Running S,6,54.97000122,880
191,Nike Men's Free 5.0+ Running Shoe,7,99.98999786,581
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,8,21.98999977,698
828,Bridgestone e6 Straight Distance NFL San Dieg,5,31.98999977,768
642,Columbia Men's PFG Anchor Tough T-Shirt,3,30.0,478
818,Titleist Pro V1x Golf Balls,5,47.99000168,397
825,Bridgestone e6 Straight Distance NFL Tennesse,5,31.98999977,254
306,Polar FT4 Heart Rate Monitor,9,89.98999786,165
977,ENO Atlas Hammock Straps,10,29.98999977,718
44,adidas Men's F10 Messi TRX FG Soccer Cleat,11,59.99000168,820
251,Brooks Women's Ghost 6 Running Shoe,6,89.98999786,839
403,Nike Men's CJ Elite 2 TD Football Cleat,12,129.9900055,987
957,Diamondback Women's Serene Classic Comfort Bi,13,299.980011,889
1352,Industrial consumer electronics,14,252.8800049,281
1349,Web Camera,15,452.0400085,530
1351,Dell Laptop,16,1500.0,690
60,SOLE E25 Elliptical,17,999.9899902,115
24,Elevation Training Mask 2.0,18,79.98999786,778
567,adidas Men's Germany Black Crest Away Tee,19,25.0,448
893,Team Golf Pittsburgh Steelers Putter Grip,20,24.98999977,471
924,Glove It Urban Brick Golf Towel,8,15.98999977,687
905,Team Golf Texas Longhorns Putter Grip,20,24.98999977,531
564,Nike Men's Deutschland Weltmeister Winners Bl,19,30.0,979
885,Team Golf St. Louis Cardinals Putter Grip,20,24.98999977,168
1363,Summer dresses,21,215.8200073,168
1353,Porcelain crafts,22,461.480011,626
1357,Men's gala suit,23,210.8500061,476
906,Team Golf Tennessee Volunteers Putter Grip,20,24.98999977,147
886,Team Golf San Francisco Giants Putter Grip,20,24.98999977,237
926,Glove It Imperial Golf Towel,8,15.98999977,464
116,Nike Men's Comfort 2 Slide,24,44.99000168,996
235,Under Armour Hustle Storm Medium Duffle Bag,25,34.99000168,543
273,Under Armour Kids' Mercenary Slide,5,27.98999977,130
282,Under Armour Women's Ignite PIP VI Slide,5,31.98999977,739
359,Nike Men's Free TR 5.0 TB Training Shoe,26,99.98999786,202
565,adidas Youth Germany Black/Red Away Match Soc,19,70.0,590
572,TYR Boys' Team Digi Jammer,19,39.99000168,187
804,Glove It Women's Imperial Golf Glove,27,19.98999977,176
822,Titleist Pro V1x High Numbers Golf Balls,5,47.99000168,426
835,Bridgestone e6 Straight Distance NFL Carolina,5,31.98999977,342
276,Under Armour Women's Ignite Slide,5,31.98999977,855
823,Titleist Pro V1x High Numbers Personalized Go,5,51.99000168,236
203,GoPro HERO3+ Black Edition Camera,28,399.9899902,671
364,Total Gym 1400,2,299.9899902,373
1350,Children's heaters,29,357.1000061,939
897,Team Golf New England Patriots Putter Grip,20,24.98999977,116
37,adidas Kids' F5 Messi FG Soccer Cleat,11,34.99000168,396
172,Nike Women's Tempo Shorts,7,30.0,889
810,Glove It Women's Mod Oval Golf Glove,27,19.98999977,112
821,Titleist Pro V1 High Numbers Personalized Gol,5,51.99000168,577
93,Under Armour Men's Tech II T-Shirt,30,24.98999977,330
1347,Baby sweater,31,59.08000183,703
305,Mio ALPHA Heart Rate Monitor/Sport Watch,9,199.0,365
1004,Field & Stream Sportsman 16 Gun Fire Safe,32,399.980011,603
1346,Sports Books ,33,31.07999992,487
58,Diamondback Boys' Insight 24 Performance Hybr,17,299.9899902,804
311,Polar Loop Activity Tracker,9,109.9499969,768
303,Garmin Forerunner 910XT GPS Watch,9,399.9899902,946
1354,DVDs ,34,164.3800049,192
1348,CDs of rock,35,11.28999996,426
78,Nike Kids' Grade School KD VI Basketball Shoe,30,99.98999786,149
258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,6,94.98999786,927
797,Hirzl Women's Soffft Flex Golf Glove,27,17.98999977,892
981,The North Face Women's Recon Backpack,10,99.0,486
1355,Lawn mower,36,532.5800171,673
135,Nike Dri-FIT Crew Sock 6 Pack,37,22.0,861
134,Nike Women's Legend V-Neck T-Shirt,37,25.0,582
845,Garmin Approach S4 Golf GPS Watch,9,299.9899902,190
982,insta-bed Neverflat Air Mattress,10,149.9900055,788
625,Nike Men's Kobe IX Elite Low Basketball Shoe,3,199.9900055,266
1359,Adult dog supplies,38,84.40000153,513
1356,First aid kit,39,293.0400085,758
607,Garmin Approach S3 Golf GPS Watch,8,249.9900055,612
1358,Rock music,40,260.6499939,477
1362,Fighting video games,41,39.75,878
295,Fitbit The One Wireless Activity & Sleep Trac,9,99.94999695,700
127,Stiga Master Series ST3100 Competition Indoor,37,329.9899902,348
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,17,299.9899902,205
35,adidas Brazuca 2014 Official Match Ball,11,159.9900055,549
858,GolfBuddy VT3 GPS Watch,9,199.9900055,865
860,Bushnell Pro X7 Jolt Slope Rangefinder,9,599.9899902,910
216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,28,189.0,250
19,Nike Men's Fingertrap Max Training Shoe,18,124.9899979,201
226,Bowflex SelectTech 1090 Dumbbells,25,599.9899902,577
208,SOLE E35 Elliptical,28,1999.98999,409
793,Hirzl Women's Hybrid Golf Glove,27,14.98999977,714
792,Hirzl Men's Hybrid Golf Glove,27,14.98999977,439
786,TaylorMade 2014 Purelite Stand Bag,42,179.9900055,692
778,Bag Boy Beverage Holder,42,24.98999977,926
777,Bag Boy M330 Push Cart,42,79.98999786,910
775,Clicgear 8.0 Shoe Brush,42,9.989999771,933
773,Titleist Small Wheeled Travel Cover,42,249.9900055,399
771,Clicgear Rovic Cooler Bag,42,39.99000168,949
768,Titleist Club Glove Travel Cover,42,299.9899902,282
743,Ogio Race Golf Shoes,43,169.9900055,529
730,LIJA Women's Argyle Golf Polo,44,80.0,520
728,LIJA Women's Eyelet Sleeveless Golf Polo,44,65.0,990
725,LIJA Women's Button Golf Dress,44,108.0,216
724,LIJA Women's Mid-Length Panel Golf Shorts,44,100.0,362
715,TaylorMade Women's RBZ SL Rescue,45,129.9900055,830
705,Cleveland Golf Women's 588 RTX CB Satin Chrom,45,119.9899979,796
703,Top Flite Women's 2014 XL Hybrid,45,19.98999977,662
691,MDGolf Pittsburgh Penguins Putter,46,79.98999786,593
677,TaylorMade White Smoke IN-12 Putter,46,99.98999786,918
671,Cleveland Golf Collegiate My Custom Wedge 588,46,209.9900055,248
666,Merrell Men's All Out Flash Trail Running Sho,47,109.9899979,520
652,Merrell Women's Grassbow Sport Waterproof Hik,47,129.9900055,918
647,Merrell Women's Siren Mid Waterproof Hiking B,47,134.9900055,917
646,Merrell Women's Grassbow Sport Hiking Shoe,47,99.98999786,730
1361,Toys ,48,11.53999996,687
1073,Pelican Sunstream 100 Kayak,49,199.9900055,986
1059,Pelican Maverick 100X Kayak,49,349.9899902,495
1014,O'Brien Men's Neoprene Life Vest,50,49.97999954,567
